age;gender;practice_question;rank_R1_conclusion_1;rank_R1_conclusion_2;rank_R2_premise;rank_R2_conclusion;rank_R3_premise;rank_R3_conclusion_1;rank_R3_conclusion_2;rank_R4_conclusion;rank_R5_premise;rank_R5_conclusion_1;rank_R5_conclusion_2;rank_R6_premise;rank_R6_conclusion;rank_R7_premise;rank_R7_conclusion;rank_R8_premise;rank_R8_conclusion_1;rank_R8_conclusion_2
25;Male;10;7;9;6;10;7;10;7;10;4;10;5;9;10;10;10;9;10;6
29;Male;10;8;8;5;8;9;8;5;5;3;9;4;10;10;10;9;8;5;5
31;Male;8;10;7;10;10;8;3;7;10;1;8;7;10;10;10;8;4;3;3
43;Male;10;7;10;10;10;7;8;10;10;4;9;3;10;10;9;9;7;8;8
62;Male;10;8;10;10;10;10;10;10;7;10;8;10;10;6;10;2;10;2;2
29;Male;6;8;4;6;8;4;9;7;10;5;3;6;8;8;9;5;6;4;3
45;Female;10;6;10;7;9;10;10;10;10;8;7;1;10;10;9;9;10;3;1
30;Male;6;3;8;7;7;8;8;7;5;3;4;5;9;2;7;7;4;5;7
62;Female;8;2;8;8;8;7;7;7;8;7;8;7;9;9;8;9;7;8;9
60;Male;10;9;9;10;9;8;10;10;9;1;10;1;10;10;10;10;9;8;8
42;Male;9;7;7;9;6;8;8;6;9;7;5;8;7;8;10;8;3;8;5
33;Male;7;8;8;9;5;8;10;9;9;5;9;3;10;10;10;8;9;10;9
32;Male;9;8;8;8;8;6;7;7;7;8;4;7;10;10;10;10;10;10;10
42;Male;9;8;9;7;6;2;8;8;2;3;8;7;10;10;10;8;7;3;3
64;Female;10;4;9;9;10;8;9;10;9;2;9;2;8;8;9;9;6;8;8
22;Female;5;10;6;1;8;10;1;2;10;2;9;2;4;4;6;8;8;5;4
44;Male;9;10;9;9;9;3;9;7;10;1;10;7;10;9;10;10;9;8;9
38;Male;8;9;9;8;9;10;9;8;10;9;9;5;10;10;10;10;9;7;7
60;Female;9;7;8;9;9;9;8;7;9;4;6;3;10;10;9;9;8;7;8
41;Male;9;8;8;6;6;5;7;8;8;10;9;5;6;6;10;10;10;10;10
30;Female;8;8;9;9;9;8;9;7;7;1;8;4;10;10;10;9;10;9;10
37;Male;8;8;8;9;8;9;9;9;9;2;2;2;6;6;9;9;7;7;2
51;Male;7;7;8;7;6;5;7;9;7;3;8;2;7;8;10;10;3;4;2
30;Male;10;9;8;10;10;7;10;10;8;7;6;5;9;9;10;10;9;7;7
38;Female;7;9;6;7;9;7;8;9;8;4;7;4;9;7;10;9;8;7;6
41;Male;8;2;6;10;10;8;10;10;5;7;9;1;10;10;10;10;5;10;4
62;Male;9;9;9;8;9;4;8;8;10;4;8;3;5;5;8;10;8;9;5
57;Male;10;10;8;5;5;10;7;8;10;3;9;2;6;6;9;9;8;3;3
39;Male;10;9;10;10;10;10;10;10;10;2;10;2;10;10;10;10;10;9;10
31;Female;10;10;8;9;8;10;6;8;10;8;3;7;10;9;6;4;7;3;3
66;Female;10;8;7;7;8;8;9;5;5;8;6;5;10;10;7;9;9;6;6
36;Female;9;8;6;7;9;8;6;9;10;9;6;9;6;8;8;5;7;9;9
74;Female;10;10;9;10;10;8;10;10;7;8;10;3;10;10;10;10;10;3;4
33;Female;10;9;6;10;10;8;10;9;10;2;8;2;10;10;10;10;9;7;7
31;Female;9;10;9;9;6;5;9;7;8;2;10;3;10;10;10;10;8;9;10
