Timestamp;I agree to participate in this research;Type this code: CJX0A6;;Question 1. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (1);Question 2. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (2);Question 3. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (3);Question 4. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (4);Question 5. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (5);Question 6. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (6);I confirm that I have noted the above verification code for submission on Mechanical Turk.;Finally, any thoughts you wish to add about your experience participating in this survey?
2020/11/24 6:32:40 pm EET;Yes;CJX0A6;fair;4;I do endorse the statement that Eddie T is a school principal. I do endorse the statement Eddie T does make long speeches.;2;I do not endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.;4;I do endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.;3;I do not endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.;5;I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.;5;I do endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.;Yes;
2020/11/24 6:34:42 pm EET;Yes;CJX0A6;fair;5;I do endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.;3;I do not endorse the statement that Anita J is a female. I do endorse the statement that Anita J is a feminist.;3;I do endorse the statement that John T is a farmer. I do not endorse the statement that John T does cultivate crops.;3;I do endorse the statement that Wilma D is a car owner. I do not endorse the statement that Wilma D does pay car insurance.;2;I do not endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.;2;I do not endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.Option 3;Yes;
2020/11/24 6:35:10 pm EET;Yes;CJX0A6;'fair' ;3;I do not endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.;3;"I do endorse the statement that Anita J is a female. I do endorse the statement that Anita J is a feminist.;I do not endorse the statement that Anita J is a female. I do endorse the statement that Anita J is a feminist.";4;"I do endorse the statement that John T is a farmer. I do not endorse the statement that John T does cultivate crops.;I do not endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.";4;"I do endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.;I do not endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.";4;"I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.;I do not endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.";4;"I do not endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.Option 3;I do not endorse the statement that Constance Y works in an office with two windows. I do not endorse the statement that Constance Y works in an office with two windows.";Yes;good survey
2020/11/24 6:36:50 pm EET;Yes;CJX0A6;'fair' ;3;"I do endorse the statement that Eddie T is a school principal. I do endorse the statement Eddie T does make long speeches.;I do endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.;I do not endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.";3;"I do endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.;I do not endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.";3;"I do endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.;I do not endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.;I do not endorse the statement that John T is a farmer. I do not endorse the statement that John T does cultivate crops.";4;"I do endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.;I do endorse the statement that Wilma D is a car owner. I do not endorse the statement that Wilma D does pay car insurance.";5;"I do not endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.;I do not endorse the statement that Phillip P is a police officer. I do not endorse the statement that Phillip P can arrest a criminal.";4;"I do endorse the statement that Constance Y works in an office with two windows. I do not endorse the statement that Constance Y works in an office with two windows.;I do not endorse the statement that Constance Y works in an office with two windows. I do not endorse the statement that Constance Y works in an office with two windows.";Yes;good survey
2020/11/24 6:37:05 pm EET;Yes;CJX0A6;fair;3;I do endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.;3;I do endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.;5;I do endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.;3;I do endorse the statement that Wilma D is a car owner. I do not endorse the statement that Wilma D does pay car insurance.;5;I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.;1;I do not endorse the statement that Constance Y works in an office with two windows. I do not endorse the statement that Constance Y works in an office with two windows.;Yes;
2020/11/24 6:38:30 pm EET;Yes;CJX0A6;fair;2;I do endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.;1;I do endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.;5;I do endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.;4;I do endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.;5;I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.;5;I do endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.;Yes;
2020/11/24 6:39:29 pm EET;Yes;CJX0A6;fair;3;I do endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.;2;I do endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.;3;I do endorse the statement that John T is a farmer. I do not endorse the statement that John T does cultivate crops.;5;I do endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.;5;I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.;5;I do endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.;Yes;No
2020/11/24 6:40:09 pm EET;Yes;CJX0A6;'fair';4;I do not endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.;5;"I do endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.;I do not endorse the statement that Anita J is a female. I do endorse the statement that Anita J is a feminist.";5;"I do endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.;I do endorse the statement that John T is a farmer. I do not endorse the statement that John T does cultivate crops.";5;"I do endorse the statement that Wilma D is a car owner. I do not endorse the statement that Wilma D does pay car insurance.;I do not endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.";5;"I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.;I do not endorse the statement that Phillip P is a police officer. I do not endorse the statement that Phillip P can arrest a criminal.";4;"I do endorse the statement that Constance Y works in an office with two windows. I do not endorse the statement that Constance Y works in an office with two windows.;I do not endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.Option 3";Yes;good one
2020/11/24 6:41:09 pm EET;Yes;CJX0A6;fair ;2;I do endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.;2;I do endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.;5;I do endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.;5;I do endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.;5;I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.;5;I do endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.;Yes;This was fun!
2020/11/24 6:41:11 pm EET;Yes;CJX0A6;fair;4;"I do endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.;I do not endorse the statement that Eddie T is a school principal. I do not endorse the statement Eddie T does make long speeches.";4;"I do endorse the statement that Anita J is a female. I do endorse the statement that Anita J is a feminist.;I do not endorse the statement that Anita J is a female. I do not endorse the statement that Anita J is a feminist.";3;"I do not endorse the statement that John T is a farmer. I do endorse the statement that John T does cultivate crops.;I do not endorse the statement that John T is a farmer. I do not endorse the statement that John T does cultivate crops.";4;"I do endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.;I do not endorse the statement that Wilma D is a car owner. I do endorse the statement that Wilma D does pay car insurance.";4;"I do endorse the statement that Phillip P is a police officer. I do endorse the statement that Phillip P can arrest a criminal.;I do not endorse the statement that Phillip P is a police officer. I do not endorse the statement that Phillip P can arrest a criminal.";4;"I do endorse the statement that Constance Y works in an office with two windows. I do endorse the statement that Constance Y works in an office with two windows.;I do not endorse the statement that Constance Y works in an office with two windows. I do not endorse the statement that Constance Y works in an office with two windows.";Yes;it was a good  survey
