Timestamp;I agree to participate in this research;Type this code: Z1T70K;;Question 1. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (1);Question 2. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (2);Question 3. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (3);Question 4. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (4);Question 5. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (5);Question 6. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (6);I confirm that I have noted the above verification code for submission on Mechanical Turk.;Finally, any thoughts you wish to add about your experience participating in this survey?
2020/11/25 11:10:38 am EET;Yes;KDEU5H;wealthy;2;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;2;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;4;I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;2;I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;2;I do not endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;nope!  thanks for yet another well-compensated HIT!
2020/11/25 11:11:44 am EET;Yes;75SQI6;wealthy;4;I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;4;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.;4;I do not endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;4;I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;4;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;4;I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.;Yes;good
2020/11/25 11:12:26 am EET;Yes;SFZ1UG;wealthy;5;I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;4;I do not endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;4;"I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;I do not endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.";5;"I do not endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.";4;"I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.";4;"I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.;I do not endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.";Yes;nice survey
2020/11/25 11:20:08 am EET;Yes;VICR8D;wealthy;2;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;4;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;2;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;4;I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;2;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;No, but thanks for the HIT!  I did my best and hope the data is useful!
2020/11/25 11:21:09 am EET;Yes;N61AAE;wealthy;3;I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;3;I do not endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;4;I do not endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;4;I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;4;"I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;I do not endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.";4;I do not endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.;Yes;good
2020/11/25 11:21:24 am EET;Yes;382SQP;wealthy;5;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;5;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.;4;I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;5;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;4;I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.;Yes;GOOD
2020/11/25 11:23:43 am EET;Yes;80UA6P;'healthy' 'employed' 'wealthy' 'favoured' 'mature' 'pleasant';5;I do not endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;5;"I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.";5;"I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;I do not endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.";5;"I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;I do not endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.";5;"I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;I do not endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;I do not endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.";5;"I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.;I do not endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;I do not endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.";Yes;good
2020/11/25 11:24:54 am EET;Yes;1LY5EE;wealthy;2;I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;4;"I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.;He may or may not have profound knowledge of the menu so hopefully this is the right way to answer.  It could be made a little more clear how we are supposed to answer in these situations...";1;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;1;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;1;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;
2020/11/25 11:25:45 am EET;Yes;62JDTU;wealthy;4;I do not endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.;5;I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;3;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;4;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;3;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;Yes;
2020/11/25 11:27:20 am EET;Yes;RMEQBF;wealthy;5;I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.;5;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.;5;I do not endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;5;I do not endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;5;I do not endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;5;I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.;Yes;I  GATHER MORE INFORMATION
