"Timestamp","I agree to participate in this research","Type this code: R7E1X","","Question 1. Read the following statement and indicate your belief on the scale below.","Explanation for rank of statement (1)","Question 2. Read the following statement and indicate your belief on the scale below.","Explanation for rank of statement (2)","Question 3. Read the following statement and indicate your belief on the scale below.","Explanation for rank of statement (3)","Question 4. Read the following statement and indicate your belief on the scale below.","Explanation for rank of statement (4)","Question 5. Read the following statement and indicate your belief on the scale below.","Explanation for rank of statement (5)","Question 6. Read the following statement and indicate your belief on the scale below.","Explanation for rank of statement (6)","I confirm that I have noted the above verification code for submission on Mechanical Turk.","Please type your Mechanical Turk WorkerID in the space below.","Finally, any thoughts you wish to add about your experience participating in this survey?"
"2020/11/25 3:47:33 pm EET","Yes","50AKDS","fragile","5","I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.","2","I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.","2","I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.","2","I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.","4","I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.","5","I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.","Yes","A1J8TVICSRC70W","Kind of weird wording and weird attention checks. "
"2020/11/25 3:50:44 pm EET","Yes","VQRYOX","fragile","5","I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.","3","I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.","2","I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.","2","I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.","4","I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.","5","I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.","Yes","AKK6H2YXK4RF6","This was a little confusing but I did my best"
"2020/11/25 3:53:12 pm EET","Yes","I9PSB","fragile","4","I do not endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.","5","I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.","1","I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.","1","I do not endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.","1","I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.","5","I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.","Yes","AITOOWS61SPF6",""
"2020/11/25 3:53:26 pm EET","Yes","I9PSB","fragile","3","I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.","2","I do not endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.","4","I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.","4","I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.","2","I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.","5","I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.","Yes","A23KAJRDVCVGOE",""
"2020/11/25 3:53:26 pm EET","Yes","VQRYOX","fragile","5","I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.","3","I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;I do not endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.","4","I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.","2","I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.","4","I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.","5","I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.","Yes","AMELYCC59JKB0","NA"
"2020/11/25 3:53:48 pm EET","No","","","","","","","","","","","","","","","","",""
"2020/11/25 3:54:54 pm EET","Yes","3OUM8L","fragile","3","I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.","3","I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.","3","I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.","3","I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.","3","I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.","3","I do not endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.","Yes","A155QUGAXQABLI","No."
"2020/11/25 3:56:09 pm EET","Yes","VQRYOX","fragile","5","I do not endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.","2","I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.","4","I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.","5","I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.","2","I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.","5","I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.","Yes","ABW8U1U74P8MI",""
"2020/11/25 3:56:11 pm EET","Yes","L0CEY","fragile","5","I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.","1","I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.","2","I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.","4","I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.","4","I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.","4","I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.","Yes","A1TLNLB9D87H6","I enjoyed taking this, though, some of the words I have not heard of before."
"2020/11/25 3:56:54 pm EET","Yes","9Q61WP","fragile","4","I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.;I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.;I do not endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.","4","I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.;I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.;I do not endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.","4","I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;I do not endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.;I do not endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.","5","I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.;I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.","4","I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.;I do not endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.","4","I do not endorse the statement that Noel W is a strong firefighter. I do not endorse the statement that Noel W is a strong firefighter.","Yes","A3AJ1VD5N8CSZV","excellent.i want daily in this survey regularly."
"2020/11/25 3:57:07 pm EET","Yes","HE694S","fragile","4","I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.","4","I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.","3","I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.","3","I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.","4","I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.","4","I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.","Yes","AX517DWAA1ECY","na"
"2020/11/25 3:57:15 pm EET","Yes","3OUM8L","fragile","4","I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.","1","I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.","4","I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.","4","I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.","4","I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.","5","I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.","Yes","AOS2PVHT2HYTL","I thought this was simple but I find myself second-guessing myself....."
"2020/11/25 3:59:14 pm EET","Yes","VFUIO","fragile","1","I do endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.","1","I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.","1","I do endorse the statement that Quentin O is a nurse. I do not endorse the statement that Quentin O does have a caring bedside manner.","1","I do not endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.","2","I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.","5","I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.","Yes","A256FHXGSY0E5D",""
"2020/11/25 4:01:11 pm EET","Yes","VQRYOX","fragile","3","I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.","3","I do endorse the statement that Penny K wears spectacles. I do endorse the statement that Penny K is near-sighted.","4","I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.","3","I do endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.","3","I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.","4","I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.","Yes","A98G6J8I3V1GU","interesting"
"2020/11/25 4:01:21 pm EET","Yes","YA0VQ9","fragile","4","I do not endorse the statement that Steven R keeps a pet dog. I do not endorse the statement that Steven R does feed his dog every day.","4","I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.","3","I do endorse the statement that Quentin O is a nurse. I do endorse the statement that Quentin O does have a caring bedside manner.","2","I do not endorse the statement that Isabelle C is a test invigilator. I do endorse the statement that Isabelle C does carry a spare set of pens.","4","I do endorse the statement that Rory Z is an accountant. I do endorse the statement that Rory Z is a mathematics boffin.","5","I do not endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.","Yes","AY9VDKJPEQH45","very nice survey."
"2020/11/25 4:02:35 pm EET","Yes","2EP5WD","fragile","5","I do endorse the statement that Steven R keeps a pet dog. I do endorse the statement that Steven R does feed his dog every day.","1","I do endorse the statement that Penny K wears spectacles. I do not endorse the statement that Penny K is near-sighted.","4","I do endorse the statement that Quentin O is a nurse. I mostly endorse the statement that Quentin O does have a caring bedside manner.","2","I do endorse the statement that Isabelle C is a test invigilator. I do not endorse the statement that Isabelle C does carry a spare set of pens.","2","I do endorse the statement that Rory Z is an accountant. I do not endorse the statement that Rory Z is a mathematics boffin.","5","I do endorse the statement that Noel W is a strong firefighter. I do endorse the statement that Noel W is a strong firefighter.","Yes","AFM65NU0UXIGP",""
