Timestamp;Select only the cat in this Google Form;I agree to participate in this research;Please confirm that you satisfy all the inclusion criteria by selecting the checkboxes that apply to you;Age;Gender;William M does work in a zoo follows from the revision of K with the new information that William M does work with animals.;K includes not only the beliefs contained in it, but also the consequences which follow from K. ;The result of revising K with the new information that Zeeta M is a classical pianist, also contains the information which follows from the result of revising K with the new information that Zeeta M is a classical pianist.;Jacob B does drive at night follows from revising K with the the new information that Jacob B is a truck driver.;Jacob B does drive at night follows from expanding K with the new information that Jacob B is a truck driver.;K is satisfiable with respect to the new information that Jessica B is a yoga instructor.;Jessica B does teach breathing exercises follows from the expansion of K with the the new information that Jessica B is a yoga instructor.;Jessica B does teach breathing exercises follows from the revision of K with the the new information that Jessica B is a yoga instructor.;The new information that Chris P is waiter is contained in the revision of K with the new information that Chris P is a waiter.;I confirm that I have noted the above verification code for submission on Mechanical Turk.;Would you be interested in taking part 2 of this survey?;Finally, any thoughts you wish to add about your experience participating in this survey?
2021/04/01 2:11:17 pm EET;Option 3;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";32;Male;9;8;8;8;8;6;7;7;7;Yes;Yes;It's quite better than average hit
2021/04/01 2:14:33 pm EET;Option 3;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";33;Female;10;9;6;10;10;8;10;9;10;Yes;Yes;
2021/04/01 2:15:52 pm EET;Option 3;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";60;Female;9;7;8;9;9;9;8;7;9;Yes;Yes;this was confusing for me, although I tried my best
2021/04/01 2:16:18 pm EET;Option 3;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";41;Male;9;8;8;6;6;5;7;8;8;Yes;Yes;
2021/04/01 2:16:44 pm EET;Option 3;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";64;Female;10;4;9;9;10;8;9;10;9;Yes;Yes;no problems
2021/04/01 2:21:02 pm EET;Option 3;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";42;Male;9;8;9;7;6;2;8;8;2;Yes;Yes;Thank you very much for this HIT, and best of luck with your research!
2021/04/01 2:23:14 pm EET;Option 3;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";45;Female;10;6;10;7;9;10;10;10;10;Yes;Yes;It was kind of tough.
2021/04/01 2:29:54 pm EET;Option 3;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";29;Male;6;8;4;6;8;4;9;7;10;Yes;Yes;
2021/04/01 2:30:13 pm EET;Option 3;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";41;Male;8;2;6;10;10;8;10;10;5;Yes;Yes;Hope I did well. Thank you!
2021/04/01 2:31:16 pm EET;Option 3;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";30;Female;8;8;9;9;9;8;9;7;7;Yes;Yes;
2021/04/01 2:32:25 pm EET;Option 3;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";36;Female;9;8;6;7;9;8;6;9;10;Yes;Yes;ALL ARE GOOD EXPERIENCE
2021/04/01 2:37:39 pm EET;Option 3;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";30;Male;10;9;8;10;10;7;10;10;8;Yes;Yes;N/A
