Timestamp;Select only the motorcycle in this Google Form;Enter your batch number here:;I agree to participate in this research;Please confirm that you satisfy all the inclusion criteria by selecting the checkboxes that apply to you;Age;Gender;The new information that if Noel W is a firefighter then Noel W is strong is equivalent to the the new information that either Noel W is not a firefighter or Noel W is strong.;Noel W does save lives follows from the revision of K with the new information that Noel W is a strong firefighter.;Noel W does save lives follows from the revision of K with the new information that either Noel W is not a firefighter or Noel W is strong.;The new information that Wilma D is a car owner, is consistent.;The revision of K with the new information that Wilma D is a car owner, is consistent.;Phillip P does carry a gun follows from the revision of K with the new information that Phillip P is a police officer and Phillip P can arrest a criminal.;Phillip P does carry a gun follows from the result of first revising K with the new information that Philip P is a police officer and then expanding with the new information that Philip P can arrest a criminal.;The revision of K with the new information that Mark M is a science professor is satisfiable with respect to the new information that Mark M does enjoy solving problems.;Mark M is a good teacher follows from the result of first revising K with the new information that Mark M is a science professor and then expanding with the new information that Mark M does enjoy solving problems. ;Mark M is a good teacher follows from the result of revising K with the new information that Mark M is a science professor and Mark M does enjoy solving problems. ;I confirm that I have noted the above verification code for submission on Mechanical Turk.;Finally, any thoughts you wish to add about your experience participating in this survey?
2021/04/08 3:12:01 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";38;Female;4;7;4;9;7;10;9;8;7;6;Yes;no
2021/04/08 6:04:58 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";33;Male;5;9;3;10;10;10;8;9;10;9;Yes;This survey was very well done and was quite interesting. 
2021/04/08 6:33:40 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";30;Female;1;8;4;10;10;10;9;10;9;10;Yes;
2021/04/08 6:41:13 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";42;Male;3;8;7;10;10;10;8;7;3;3;Yes;It's been interesting and enjoyable, thank you!
2021/04/08 6:50:09 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";41;Male;7;9;1;10;10;10;10;5;10;4;Yes;thank you!
2021/04/08 9:52:13 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";22;Female;2;9;2;4;4;6;8;8;5;4;Yes;no
2021/04/09 1:37:30 am EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";74;Female;8;10;3;10;10;10;10;10;3;4;Yes;none, thank you
2021/04/09 5:41:50 am EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";44;Male;1;10;7;10;9;10;10;9;8;9;Yes;I really enjoyed the hit. It really made you think of different possibilities about a situation.
2021/04/09 9:57:14 am EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";41;Male;10;9;5;6;6;10;10;10;10;10;Yes;
2021/04/09 12:45:26 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";29;Male;3;9;4;10;10;10;9;8;5;5;Yes;
2021/04/09 1:33:50 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";32;Male;8;4;7;10;10;10;10;10;10;10;Yes;It's far better than average hit
2021/04/09 2:16:35 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";62;Male;10;8;10;10;6;10;2;10;2;2;Yes;
2021/04/09 2:16:51 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";42;Male;7;5;8;7;8;10;8;3;8;5;Yes;
2021/04/09 7:29:04 pm EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";51;Male;3;8;2;7;8;10;10;3;4;2;Yes;
2021/04/10 6:37:35 am EET;Option 2;B1;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";36;Female;9;6;9;6;8;8;5;7;9;9;Yes;ALL ARE GOOD
