captcha_code,consent,age,gender,practice_question,rank_R1_conclusion_1,rank_R1_conclusion_2,rank_R2_premise,rank_R2_conclusion,rank_R3_premise,rank_R3_conclusion_1,rank_R3_conclusion_2,rank_R4_conclusion,mturk_ID_consent,future_participation,feedback,inclusion_criteria_age,inclusion_criteria_location,inclusion_criteria_language,year,month,day,hour,minute,second
Option 3,Yes,25,Male,10,7,9,6,10,7,10,7,10,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,15,14,32,16
Option 3,Yes,29,Male,10,8,8,5,8,9,8,5,5,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,15,16,29
Option 3,Yes,31,Male,8,10,7,10,10,8,3,7,10,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,15,14,45,0
Option 3,Yes,43,Male,10,7,10,10,10,7,8,10,10,Yes,Yes,None,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,16,34,27
Option 3,Yes,62,Male,10,8,10,10,10,10,10,10,7,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,15,18,11
Option 3,Yes,29,Male,6,8,4,6,8,4,9,7,10,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,29,54
Option 3,Yes,45,Female,10,6,10,7,9,10,10,10,10,Yes,Yes,It was kind of tough.,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,23,14
Option 3,Yes,30,Male,6,3,8,7,7,8,8,7,5,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,44,33
Option 3,Yes,62,Female,8,2,8,8,8,7,7,7,8,Yes,Yes,NONE,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,16,12,40
Option 3,Yes,60,Male,10,9,9,10,9,8,10,10,9,Yes,Yes,no,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,15,16,50,49
Option 3,Yes,42,Male,9,7,7,9,6,8,8,6,9,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,16,21,11
Option 3,Yes,33,Male,7,8,8,9,5,8,10,9,9,Yes,Yes,I found this much more interesting than I expected!,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,15,44,3
Option 3,Yes,32,Male,9,8,8,8,8,6,7,7,7,Yes,Yes,It's quite better than average hit,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,11,17
Option 3,Yes,42,Male,9,8,9,7,6,2,8,8,2,Yes,Yes,"Thank you very much for this HIT, and best of luck with your research!",I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,21,2
Option 3,Yes,64,Female,10,4,9,9,10,8,9,10,9,Yes,Yes,no problems,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,16,44
Option 3,Yes,22,Female,5,10,6,1,8,10,1,2,10,Yes,Yes,this was extremely confusing.,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,52,7
Option 3,Yes,44,Male,9,10,9,9,9,3,9,7,10,Yes,Yes,N/A,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,16,9,19
Option 3,Yes,38,Male,8,9,9,8,9,10,9,8,10,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,15,14,56,30
Option 3,Yes,60,Female,9,7,8,9,9,9,8,7,9,Yes,Yes,"this was confusing for me, although I tried my best",I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,15,52
Option 3,Yes,41,Male,9,8,8,6,6,5,7,8,8,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,16,18
Option 3,Yes,30,Female,8,8,9,9,9,8,9,7,7,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,31,16
Option 3,Yes,37,Male,8,8,8,9,8,9,9,9,9,Yes,Yes,"I understood what you were asking, but I thought it was presented in an unnecessarily complicated way",I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,15,14,38,54
Option 3,Yes,51,Male,7,7,8,7,6,5,7,9,7,Yes,Yes,I do not have any thoughts to add.,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,16,53,7
Option 3,Yes,30,Male,10,9,8,10,10,7,10,10,8,Yes,Yes,N/A,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,37,39
Option 3,Yes,38,Female,7,9,6,7,9,7,8,9,8,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,15,24,44
Option 3,Yes,41,Male,8,2,6,10,10,8,10,10,5,Yes,Yes,Hope I did well. Thank you!,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,30,13
Option 3,Yes,62,Male,9,9,9,8,9,4,8,8,10,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,15,15,50,53
Option 3,Yes,57,Male,10,10,8,5,5,10,7,8,10,Yes,Yes,Thank you!,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,15,14,43,50
Option 3,Yes,39,Male,10,9,10,10,10,10,10,10,10,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,15,15,0,55
Option 3,Yes,31,Female,10,10,8,9,8,10,6,8,10,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,15,15,47,7
Option 3,Yes,66,Female,10,8,7,7,8,8,9,5,5,Yes,Yes,Kind of an odd survey......,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,15,16,23,1
Option 3,Yes,36,Female,9,8,6,7,9,8,6,9,10,Yes,Yes,ALL ARE GOOD EXPERIENCE,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,32,25
Option 3,Yes,74,Female,10,10,9,10,10,8,10,10,7,Yes,Yes,"This seems highly subjective. To my way of thinking, just about everything can be made to appear plausible if you arrange your thinking to accommodate the implausible.",I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,15,22,47
Option 3,Yes,33,Female,10,9,6,10,10,8,10,9,10,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,1,14,14,33
Option 3,Yes,31,Female,9,10,9,9,6,5,9,7,8,Yes,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,4,15,14,31,43
