Timestamp;Select only the image with purple balloons in this Google Form;I agree to participate in this research;Please confirm that you satisfy all the inclusion criteria by selecting the checkboxes that apply to you;Age;Gender;𝜓 is a consequence of itself.;The new information (1) follows from the result of updating 𝜓 with the new information (1).;The new information (1) follows from 𝜓.;𝜓 follows from the result of updating 𝜓 with the new information (1).;The result of updating 𝜓 with the new information (1), follows from 𝜓.;Both 𝜓 and the new information (1), is satisfiable.;The result of updating 𝜓 with the new information (1), is satisfiable.;𝜓2 follows from 𝜓1;𝜓1 follows from 𝜓2;The new information (1) follows from the new information (2).;The new information (2) follows from the new information (1).;The result of updating 𝜓2 with the new information (2), follows from the result of updating 𝜓1 with the new information (1).;The result of updating 𝜓1 with the new information (1), follows from the result of updating 𝜓2 with the new information (2).;The result of updating 𝜓 with statement (4), follows from statement (3).;I confirm that I have noted the above verification code for submission on Mechanical Turk.;Finally, any thoughts you wish to add about your experience participating in this survey?
2021/06/25 2:07:25 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";42;Male;10;9;9;7;8;9;7;7;9;7;7;9;9;8;Yes;none
2021/06/25 2:08:14 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";42;Male;7;9;10;8;8;10;7;10;10;9;10;9;9;9;Yes;
2021/06/25 2:09:59 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";30;Male;6;7;5;4;8;4;4;4;2;6;4;5;2;4;Yes;
2021/06/25 2:10:42 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";50;Female;8;8;8;7;9;10;7;10;8;9;8;10;8;10;Yes;
2021/06/25 2:11:58 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";28;Male;10;2;8;8;8;10;10;5;10;10;5;10;5;10;Yes;That was pretty difficult, but I tried my best.
2021/06/25 2:12:45 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";25;Male;4;10;5;2;2;10;10;4;1;6;6;4;4;2;Yes;This was very confusing. I had no clue how to answer many of the questions
2021/06/25 2:14:55 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";44;Male;9;6;10;10;9;5;6;10;10;10;10;10;10;10;Yes;It was very interesting and challenging for me! Good luck with your data!
2021/06/25 2:15:18 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";33223;Female;7;8;7;8;9;8;9;7;9;7;9;7;8;7;Yes;interesting
2021/06/25 2:16:08 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";39;Female;9;9;7;9;9;10;10;10;7;5;10;5;10;8;Yes;
2021/06/25 2:16:55 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";42;Male;8;8;3;9;5;9;9;1;1;10;10;10;10;10;Yes;
2021/06/25 2:17:46 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";36;Male;7;7;6;5;6;4;4;8;8;8;7;6;6;4;Yes;
2021/06/25 2:19:00 pm EET;Option 4;Yes;"I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English";61;Female;7;8;9;8;8;8;8;4;5;7;7;6;7;7;Yes;NONE
