"HITId,""HITTypeId"",""Title"",""Description"",""Keywords"",""Reward"",""CreationTim";"e""";",""MaxAs";signme;"nts"",""Requ";ester;Annotat;"ion"",""A";ssi;gnm;entDurati;onInS;"econds"",""A";utoApprova;lDe;layI;nSeconds;,Expira;tion;,Numb;erO;fSimil;arHI;"Ts"",""Lif";eti;meI;nS;econds;,As;si;"gnmentId"",""Wor";ker;"Id""";",""Assignmen";"tStatus"",""AcceptTime"",";SubmitTim;"e"",""Aut";oApprovalTi;"me"",""Ap";provalTi;"me"",""Rejectio";"nTime"",";Reque;sterFeedback;,Work;TimeInSe;"conds"",""Li";fetimeApp;rovalRate;,Last30DaysApprovalR;"ate""";",""L";ast7DaysA;ppro;"valRate"",""Answer.surveycode"",""Approve"",""Reject""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3YD0MU1NC4PM6IA80LA1E9C0ELT7AY,""3Z1ME8JRSK01AV8NUDSBF5G86L7OC8"",""Answer";a ;survey ;about ;reasoning ;with ;belief ;update ;-2;of ;"2)"",""For";each ;statement ;presented ;in ;the ;survey, ;indicate ;the ;degree ;to ;which ;you ;believe ;it ;on ;a ;scale ;from ;1;(implausible) ;to ;10;(extremely ;"plausible)."",""survey, ";research, ;logic, ;reasoning, ;belief ;update, ;mathematics, ;maths, ;math, ;philosophy, ;belief ;change, ;cognitive ;science, ;computer ;"science"",""$3.75"",""Fri";Jun ;25;05:03:04;PDT ;"2021"",""61"",""BatchId:4487240;OriginalHitTemplateId:920937340;"",""3600"",""259200"",""Fri";Jul ;2;05:03:04;PDT ;"2021"","","",""308Q0PEVBB18D3FSH850XMMG71YI97"",""Approved"",""Mon"; Jun;28;04:31:33; PDT;"2021"",""Mon"; Jun;28;04:45:35; PDT;"2021"",""Thu"; Jul;1;04:45:35; PDT;"2021"",""Mon"; Jun;28;08:57:17; PDT;"2021"","","",""842"",""100%";"(2/2)"",""100%";"(2/2)"",""0%";"(0/0)"",""BR2_2021""";;;;;;;;;;;;;;;
"3YD0MU1NC4PM6IA80LA1E9C0ELT7AY,""3Z1ME8JRSK01AV8NUDSBF5G86L7OC8"",""Answer";a ;survey ;about ;reasoning ;with ;belief ;update ;-2;of ;"2)"",""For";each ;statement ;presented ;in ;the ;survey, ;indicate ;the ;degree ;to ;which ;you ;believe ;it ;on ;a ;scale ;from ;1;(implausible) ;to ;10;(extremely ;"plausible)."",""survey, ";research, ;logic, ;reasoning, ;belief ;update, ;mathematics, ;maths, ;math, ;philosophy, ;belief ;change, ;cognitive ;science, ;computer ;"science"",""$3.75"",""Fri";Jun ;25;05:03:04;PDT ;"2021"",""61"",""BatchId:4487240;OriginalHitTemplateId:920937340;"",""3600"",""259200"",""Fri";Jul ;2;05:03:04;PDT ;"2021"","","",""31IBVUNM9VNM0JQ5J14BM7YLI1PFVT"",""Approved"",""Mon"; Jun;28;04:47:07; PDT;"2021"",""Mon"; Jun;28;04:57:52; PDT;"2021"",""Thu"; Jul;1;04:57:52; PDT;"2021"",""Mon"; Jun;28;08:57:17; PDT;"2021"","","",""645"",""100%";"(2/2)"",""100%";"(2/2)"",""0%";"(0/0)"",""BR2_2021""";;;;;;;;;;;;;;;
"3YD0MU1NC4PM6IA80LA1E9C0ELT7AY,""3Z1ME8JRSK01AV8NUDSBF5G86L7OC8"",""Answer";a ;survey ;about ;reasoning ;with ;belief ;update ;-2;of ;"2)"",""For";each ;statement ;presented ;in ;the ;survey, ;indicate ;the ;degree ;to ;which ;you ;believe ;it ;on ;a ;scale ;from ;1;(implausible) ;to ;10;(extremely ;"plausible)."",""survey, ";research, ;logic, ;reasoning, ;belief ;update, ;mathematics, ;maths, ;math, ;philosophy, ;belief ;change, ;cognitive ;science, ;computer ;"science"",""$3.75"",""Fri";Jun ;25;05:03:04;PDT ;"2021"",""61"",""BatchId:4487240;OriginalHitTemplateId:920937340;"",""3600"",""259200"",""Fri";Jul ;2;05:03:04;PDT ;"2021"","","",""337RC3OW08Q80B015C79HK35FUKLV7"",""Approved"",""Sat";Jun ;26;02:33:20;PDT ;"2021"",""Sat";Jun ;26;02:52:07;PDT ;"2021"",""Tue";Jun ;29;02:52:07;PDT ;"2021"",""Sat";Jun ;26;04:40:39;PDT ;"2021"","","",""1127"",""100%";"(2/2)"",""100%";"(2/2)"",""0%";"(0/0)"",""BR2_2021""";;;;;;;;;;;;;;;
"3YD0MU1NC4PM6IA80LA1E9C0ELT7AY,""3Z1ME8JRSK01AV8NUDSBF5G86L7OC8"",""Answer";a ;survey ;about ;reasoning ;with ;belief ;update ;-2;of ;"2)"",""For";each ;statement ;presented ;in ;the ;survey, ;indicate ;the ;degree ;to ;which ;you ;believe ;it ;on ;a ;scale ;from ;1;(implausible) ;to ;10;(extremely ;"plausible)."",""survey, ";research, ;logic, ;reasoning, ;belief ;update, ;mathematics, ;maths, ;math, ;philosophy, ;belief ;change, ;cognitive ;science, ;computer ;"science"",""$3.75"",""Fri";Jun ;25;05:03:04;PDT ;"2021"",""61"",""BatchId:4487240;OriginalHitTemplateId:920937340;"",""3600"",""259200"",""Fri";Jul ;2;05:03:04;PDT ;"2021"","","",""339ANSOTR8QSUZYJL5WPNV0WIRXIKG"",""Approved"",""Fri"; Jun;25;05:03:41; PDT;"2021"",""Fri"; Jun;25;05:36:14; PDT;"2021"",""Mon"; Jun;28;05:36:14; PDT;"2021"",""Sat"; Jun;26;04:38:21; PDT;"2021"","","",""1953"",""100%";"(2/2)"",""100%";"(2/2)"",""0%";"(0/0)"",""BR2_2021""";;;;;;;;;;;;;;;
"3YD0MU1NC4PM6IA80LA1E9C0ELT7AY,""3Z1ME8JRSK01AV8NUDSBF5G86L7OC8"",""Answer";a ;survey ;about ;reasoning ;with ;belief ;update ;-2;of ;"2)"",""For";each ;statement ;presented ;in ;the ;survey, ;indicate ;the ;degree ;to ;which ;you ;believe ;it ;on ;a ;scale ;from ;1;(implausible) ;to ;10;(extremely ;"plausible)."",""survey, ";research, ;logic, ;reasoning, ;belief ;update, ;mathematics, ;maths, ;math, ;philosophy, ;belief ;change, ;cognitive ;science, ;computer ;"science"",""$3.75"",""Fri";Jun ;25;05:03:04;PDT ;"2021"",""61"",""BatchId:4487240;OriginalHitTemplateId:920937340;"",""3600"",""259200"",""Fri";Jul ;2;05:03:04;PDT ;"2021"","","",""34FNN24DCPXB2GSLI0EM7UB2BKO5YC"",""Approved"",""Fri"; Jun;25;12:35:33; PDT;"2021"",""Fri"; Jun;25;13:18:19; PDT;"2021"",""Mon"; Jun;28;13:18:19; PDT;"2021"",""Sat"; Jun;26;04:40:02; PDT;"2021"","","",""2566"",""100%";"(2/2)"",""100%";"(2/2)"",""0%";"(0/0)"",""BR2_2021""";;;;;;;;;;;;;;;
"3YD0MU1NC4PM6IA80LA1E9C0ELT7AY,""3Z1ME8JRSK01AV8NUDSBF5G86L7OC8"",""Answer";a ;survey ;about ;reasoning ;with ;belief ;update ;-2;of ;"2)"",""For";each ;statement ;presented ;in ;the ;survey, ;indicate ;the ;degree ;to ;which ;you ;believe ;it ;on ;a ;scale ;from ;1;(implausible) ;to ;10;(extremely ;"plausible)."",""survey, ";research, ;logic, ;reasoning, ;belief ;update, ;mathematics, ;maths, ;math, ;philosophy, ;belief ;change, ;cognitive ;science, ;computer ;"science"",""$3.75"",""Fri";Jun ;25;05:03:04;PDT ;"2021"",""61"",""BatchId:4487240;OriginalHitTemplateId:920937340;"",""3600"",""259200"",""Fri";Jul ;2;05:03:04;PDT ;"2021”,"","",""34S6N1K2ZY73IA5H0NQ52JCW7H7HLF"",""Approved"",""Sun"; Jun;27;17:02:50; PDT;"2021"",""Sun"; Jun;27;17:32:09; PDT;"2021"",""Wed"; Jun;30;17:32:09; PDT;"2021"",""Mon"; Jun;28;02:46:32; PDT;"2021"","","",""1759"",""100%";"(2/2)"",""100%";"(2/2)"",""0%";"(0/0)"",""BR2_2021""";;;;;;;;;;;;;;;
"3YD0MU1NC4PM6IA80LA1E9C0ELT7AY,""3Z1ME8JRSK01AV8NUDSBF5G86L7OC8"",""Answer";a ;survey ;about ;reasoning ;with ;belief ;update ;-2;of ;"2)"",""For";each ;statement ;presented ;in ;the ;survey, ;indicate ;the ;degree ;to ;which ;you ;believe ;it ;on ;a ;scale ;from ;1;(implausible) ;to ;10;(extremely ;"plausible)."",""survey, ";research, ;logic, ;reasoning, ;belief ;update, ;mathematics, ;maths, ;math, ;philosophy, ;belief ;change, ;cognitive ;science, ;computer ;"science"",""$3.75"",""Fri";Jun ;25;05:03:04;PDT ;"2021"",""61"",""BatchId:4487240;OriginalHitTemplateId:920937340;"",""3600"",""259200"",""Fri";Jul ;2;05:03:04;PDT ;"2021"","","",""3634BBTX0RIHED65KU5S7I8RAVGIFE"",""Approved"",""Fri"; Jun;25;05:03:40; PDT;"2021"",""Fri"; Jun;25;05:12:46; PDT;"2021"",""Mon"; Jun;28;05:12:46; PDT;"2021"",""Sat"; Jun;26;04:38:41; PDT;"2021"","","",""546"",""100%";"(5/5)"",""100%";"(2/2)"",""0%";"(0/0)"",""BR2_2021""";;;;;;;;;;;;;;;
"3YD0MU1NC4PM6IA80LA1E9C0ELT7AY,""3Z1ME8JRSK01AV8NUDSBF5G86L7OC8"",""Answer";a ;survey ;about ;reasoning ;with ;belief ;update ;-2;of ;"2)"",""For";each ;statement ;presented ;in ;the ;survey, ;indicate ;the ;degree ;to ;which ;you ;believe ;it ;on ;a ;scale ;from ;1;(implausible) ;to ;10;(extremely ;"plausible)."",""survey, ";research, ;logic, ;reasoning, ;belief ;update, ;mathematics, ;maths, ;math, ;philosophy, ;belief ;change, ;cognitive ;science, ;computer ;"science"",""$3.75"",""Fri";Jun ;25;05:03:04;PDT ;"2021"",""61"",""BatchId:4487240;OriginalHitTemplateId:920937340;"",""3600"",""259200"",""Fri";Jul ;2;05:03:04;PDT ;"2021"","","",""36H9ULYP65ID9OQB2CQSJJNRNA6FJO"",""Rejected"",""Fri"; Jun;25;09:16:08; PDT;"2021"",""Fri"; Jun;25;09:44:34; PDT;"2021"",""Mon"; Jun;28;09:44:34; PDT;"2021"","",""";Sat ;Jun;26 04:38;:58;"PDT 2021"",""Incorrect surv";ey code. Upon; further in;spection, you have not; completed; my; survey; on; Google; Forms.; Therefore,; your; response; has; been;"rejected."",""1706"",""0%";"(0/1)"",""0%";"(0/1)"",""0%";"(0/0)"",""A2LVJJQMH39V6H"""
"3YD0MU1NC4PM6IA80LA1E9C0ELT7AY,""3Z1ME8JRSK01AV8NUDSBF5G86L7OC8"",""Answer";a ;survey ;about ;reasoning ;with ;belief ;update ;-2;of ;"2)"",""For";each ;statement ;presented ;in ;the ;survey, ;indicate ;the ;degree ;to ;which ;you ;believe ;it ;on ;a ;scale ;from ;1;(implausible) ;to ;10;(extremely ;"plausible)."",""survey, ";research, ;logic, ;reasoning, ;belief ;update, ;mathematics, ;maths, ;math, ;philosophy, ;belief ;change, ;cognitive ;science, ;computer ;"science"",""$3.75"",""Fri";Jun ;25;05:03:04;PDT ;"2021"",""61"",""BatchId:4487240;OriginalHitTemplateId:920937340;"",""3600"",""259200"",""Fri";Jul ;2;05:03:04;PDT ;"2021"","","",""36PW28KO42KA2HNBDVT982Z8LN7AEX"",""Rejected"",""Fri";Jun ;25;23:18:57;PDT ;"2021"",""Fri";Jun ;25;23:19:27;PDT ;"2021"",""Mon";Jun ;28;23:19:27;PDT ;"2021"","",""S";at J;un ;26 04:40:;49 P;"DT 2021"",""Incorrect surve";y code. Upon ;further ins;pection, you have not ;completed ;my ;survey ;on ;Google ;Forms. ;Therefore, ;your ;response ;has ;been ;"rejected."",""30"",""0% (0/";"1)"",""0% (0/";"1)"",""0% (0/";"0)"",""AUO7GWTC1EAK7"""
"3YD0MU1NC4PM6IA80LA1E9C0ELT7AY,""3Z1ME8JRSK01AV8NUDSBF5G86L7OC8"",""Answer";a ;survey ;about ;reasoning ;with ;belief ;update ;-2;of ;"2)"",""For";each ;statement ;presented ;in ;the ;survey, ;indicate ;the ;degree ;to ;which ;you ;believe ;it ;on ;a ;scale ;from ;1;(implausible) ;to ;10;(extremely ;"plausible)."",""survey, ";research, ;logic, ;reasoning, ;belief ;update, ;mathematics, ;maths, ;math, ;philosophy, ;belief ;change, ;cognitive ;science, ;computer ;"science"",""$3.75"",""Fri";Jun ;25;05:03:04;PDT ;"2021"",""61"",""BatchId:4487240;OriginalHitTemplateId:920937340;"",""3600"",""259200"",""Fri";Jul ;2;05:03:04;PDT ;"2021"","","",""37FMASSAYFFR1WUPFSJWOSH6VXOIBW"",""Approved"",""Fri"; Jun;25;05:18:59; PDT;"2021"",""Fri"; Jun;25;05:51:08; PDT;"2021"",""Mon"; Jun;28;05:51:08; PDT;"2021"",""Sat"; Jun;26;04:39:47; PDT;"2021"","","",""1929"",""100%";"(2/2)"",""100%";"(2/2)"",""0%";"(0/0)"",""BR2_2021""";;;;;;;;;;;;;;;
