"Timestamp","Enter the survey access code / batch code here: ","Select only the image which contains a mobile smartphone in this Google Form.","I agree to participate in this research","Please confirm that you satisfy all the inclusion criteria by selecting the checkboxes that apply to you","Age","Gender","The new information (2) follows from the result of updating 𝜓 with new information (1), and the new information (1) follows from the result of updating 𝜓 with new information (2).","The result of updating 𝜓 with the new information (2) follows from the result of updating 𝜓 with the new information (1).","The result of updating 𝜓 with the new information (1) follows from the result of updating 𝜓 with the new information (2).","𝜓 is complete.","The result of updating 𝜓 with statement (3), follows from statement (4).","Statement (7)  follows from the result of updating statement (4) with the new information (1).","The result of updating statement (4) with the new information (1), follows from statement (7).","𝜓 is complete, and the result of statement (4) ∧ new information (2) is satisfiable.","The result of updating statement (4) with new information (2), follows from the result of updating 𝜓 with statement (5).","I confirm that I have noted the above verification code for submission on Mechanical Turk.","Please type your Mechanical Turk WorkerID in the space below.","Finally, any thoughts you wish to add about your experience participating in this survey?"
"2021/06/25 2:12:42 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","42","Male","8","9","10","7","5","7","5","7","7","Yes","A23KAJRDVCVGOE",""
"2021/06/25 2:20:12 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","42","Male","8","7","8","8","8","8","7","8","6","Yes","A1QUBLZCONL4QD",""
"2021/06/25 2:21:46 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","25","Male","1","8","1","1","4","5","3","8","9","Yes","A5P12YJP805RG",""
"2021/06/25 2:28:39 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","36","Male","7","6","8","7","5","7","8","7","6","Yes","A3774HPOUKYTX7","Thanks Clayton! Good luck on your research."
"2021/06/25 2:30:14 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","47","Female","7","8","8","9","9","8","7","6","5","Yes","A3908297ZI3LES","Thank you"
"2021/06/25 2:32:02 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","39","Female","7","4","7","4","4","8","8","9","4","Yes","A1XVEKS9O73ERE",""
"2021/06/25 2:35:09 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","28","Male","10","1","10","9","10","10","9","1","10","Yes","A3FPBLKQZ3U2WP","Nice task and thanks for the opportunity"
"2021/06/25 2:36:23 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","61","Female","8","8","8","4","4","6","5","7","7","Yes","A1GKD3NG1NNHRP",""
"2021/06/25 2:38:33 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","42","Male","10","10","10","4","10","10","2","9","9","Yes","A3JC9VPPTHNKVL",""
"2021/06/25 2:42:16 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","30","Female","5","7","4","6","7","10","10","1","1","Yes","AHVM9ORYY3F5J",""
