captcha_code,consent,age,gender,practice_question,rank_U1_conclusion,rank_U2_premise,rank_U2_conclusion_1,rank_U2_conclusion_2,rank_U3_premise,rank_U3_conclusion,rank_U4_premise_1,rank_U4_premise_2,rank_U4_premise_3,rank_U4_premise_4,rank_U4_conclusion_1,rank_U4_conclusion_2,rank_U5_conclusion,mturk_ID_consent,feedback,inclusion_criteria_age,inclusion_criteria_location,inclusion_criteria_language,year,month,day,hour,minute,second
Option 4,Yes,44,Male,9,6,10,10,9,5,6,10,10,10,10,10,10,10,Yes,It was very interesting and challenging for me! Good luck with your data!,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,14,55
Option 4,Yes,43,Female,4,1,5,6,6,1,1,10,6,10,10,6,10,10,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,16,39,38
Option 4,Yes,50,Female,9,8,9,8,8,5,6,9,5,4,9,8,8,9,Yes,I truly appreciate the confidence which you showed in this survey. This survey is very interesting to do.,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,25,27
Option 4,Yes,40,Female,8,6,7,7,6,9,9,7,3,2,9,6,4,9,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,46,14
Option 4,Yes,61,Female,7,8,9,8,8,8,8,4,5,7,7,6,7,7,Yes,NONE,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,19,0
Option 4,Yes,28,Female,3,8,2,9,3,8,9,1,2,2,1,1,1,9,Yes,"I did try to understand and read/comprehend pretty hard, but this is INTENSE.",I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,49,15
Option 4,Yes,56,Female,8,8,6,8,9,5,6,3,5,8,2,2,7,9,Yes,The print is a little small...but otherwise all good and interesting.,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,16,12,36
Option 4,Yes,34,Male,8,6,9,6,8,5,7,6,8,4,8,4,8,7,Yes,Great,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,15,0,12
Option 4,Yes,42,Male,10,9,9,7,8,9,7,7,9,7,7,9,9,8,Yes,none,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,7,25
Option 4,Yes,24,Male,4,8,8,8,8,7,8,6,6,8,10,8,7,9,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,15,20,26
Option 4,Yes,39,Female,9,9,7,9,9,10,10,10,7,5,10,5,10,8,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,16,8
Option 4,Yes,42,Male,7,9,10,8,8,10,7,10,10,9,10,9,9,9,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,8,14
Option 4,Yes,44,Female,9,9,10,9,10,9,10,8,9,10,8,9,10,9,Yes,GOOD,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,15,43,56
Option 4,Yes,49,Female,4,3,6,8,6,8,8,6,6,4,10,9,3,8,Yes,"This survey was tough (not sure I understood the reasoning behind using the symbols instead of just words to make the questions clearer, but I'm guessing it was a necessary element of the research?) Nonetheless it was interesting to see exactly how I process addition of new information to an existing worldview. Thanks!",I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,28,30
Option 4,Yes,50,Female,8,8,8,7,9,10,7,10,8,9,8,10,8,10,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,10,42
Option 4,Yes,37,Male,9,6,5,8,6,9,9,1,1,1,1,1,1,10,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,20,40
Option 4,Yes,53,Female,8,3,7,7,8,9,9,7,2,7,3,6,9,8,Yes,I would love to know if I got those right or not :),I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,15,23,59
Option 4,Yes,33,Male,7,10,10,10,10,10,10,10,2,2,10,10,1,10,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,51,39
Option 4,Yes,39,Male,6,5,7,6,6,7,6,6,5,6,5,7,5,5,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,16,23,27
Option 4,Yes,29,Male,7,7,9,9,7,6,9,6,5,10,8,7,9,8,Yes,None,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,44,32
Option 4,Yes,40,Female,8,6,7,7,7,4,4,10,4,5,10,9,5,10,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,15,21,11
Option 4,Yes,36,Male,7,8,7,8,7,7,6,5,6,5,7,8,6,6,Yes,I have no clue if I did this right or not but I can say that I did try my best based on how I understood this.,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,20,15
Option 4,Yes,47,Female,5,9,9,9,9,10,10,6,6,7,6,6,6,10,Yes,Thank you,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,24,12
Option 4,Yes,38,Male,8,3,3,3,3,10,10,8,8,8,10,8,10,10,Yes,Complex but interesting; thanks,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,18,1,45
Option 4,Yes,25,Female,3,7,5,6,4,8,7,8,9,9,9,8,8,9,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,15,37,35
Option 4,Yes,28,Male,10,1,10,10,1,1,10,10,10,1,10,10,2,10,Yes,Nice task,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,31,28
Option 4,Yes,28,Male,10,2,8,8,8,10,10,5,10,10,5,10,5,10,Yes,"That was pretty difficult, but I tried my best.",I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,11,58
Option 4,Yes,42,Male,8,8,3,9,5,9,9,1,1,10,10,10,10,10,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,16,55
Option 4,Yes,43,Female,10,7,9,7,9,7,6,8,9,10,8,8,10,10,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,26,50
Option 4,Yes,46,Male,3,8,3,6,3,7,7,10,10,10,9,6,10,10,Yes,"Original study, well presented",I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,25,50
Option 4,Yes,24,Female,7,6,3,6,7,7,9,5,5,6,7,7,6,8,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,16,19,18
Option 4,Yes,25,Male,4,10,5,2,2,10,10,4,1,6,6,4,4,2,Yes,This was very confusing. I had no clue how to answer many of the questions,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,12,45
Option 4,Yes,27,Male,10,10,10,9,10,10,9,10,9,10,8,9,8,9,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,47,14
Option 4,Yes,30,Female,6,5,6,7,5,7,6,5,3,6,5,7,3,8,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,24,31
Option 4,Yes,57,Male,8,9,9,9,9,10,9,10,2,8,7,4,6,8,Yes,none,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,15,55,20
Option 4,Yes,36,Female,8,7,5,6,6,7,7,4,4,3,4,3,3,9,Yes,No,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,15,33,32
Option 4,Yes,53,Male,5,8,9,8,8,10,10,4,10,3,9,3,9,7,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,21,1
