access_code,captcha_code,consent,age,gender,rank_U6_premise,rank_U6_conclusion_1,rank_U6_conclusion_2,rank_U7_premise,rank_U7_conclusion,rank_U8_conclusion_1,rank_U8_conclusion_2,rank_U9_premise,rank_U9_conclusion,mturk_ID_consent,feedback,inclusion_criteria_age,inclusion_criteria_location,inclusion_criteria_language,year,month,day,hour,minute,second
BUbu2021$$,Option 2,Yes,44,Male,10,10,10,10,8,4,6,4,3,Yes,This was very challenging but I enjoyed making my judgements,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,16,21,17
BUbu2021$$,Option 2,Yes,43,Female,8,8,8,6,6,4,4,8,8,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,28,13,51,29
BUbu2021$$,Option 2,Yes,50,Female,8,8,4,8,9,8,8,8,8,Yes,Flexibility and attractiveness are key when it comes to creating good forms. I found in this survey.,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,26,5,35,40
BUbu2021$$,Option 2,Yes,40,Female,6,9,4,6,7,8,6,8,7,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,49,44
BUbu2021$$,Option 2,Yes,61,Female,8,8,8,4,4,6,5,7,7,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,36,23
BUbu2021$$,Option 2,Yes,28,Female,9,10,9,8,4,6,1,9,8,Yes,My head is DYING. I'm good at first - I read the statements and I actually understand what they mean. The bottom questions about statements following and satisfying confused me though. I would have like to see some examples in the directions.,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,59,58
BUbu2021$$,Option 2,Yes,56,Female,9,9,7,5,8,8,3,5,9,Yes,This was quite difficult. Wish I knew the answers.,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,18,29,30
BUbu2021$$,Option 2,Yes,33,Male,8,7,5,5,7,7,8,6,4,Yes,Great,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,16,3,51
BUbu2021$$,Option 2,Yes,42,Male,8,7,8,8,8,8,7,8,6,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,20,12
BUbu2021$$,Option 2,Yes,24,Male,7,8,7,6,7,8,5,6,7,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,16,52,8
BUbu2021$$,Option 2,Yes,39,Female,7,4,7,4,4,8,8,9,4,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,32,2
BUbu2021$$,Option 2,Yes,42,Male,8,9,10,7,5,7,5,7,7,Yes,NA,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,14,12,42
BUbu2021$$,Option 2,Yes,44,Female,8,9,10,9,10,8,9,8,10,Yes,NICE,I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,25,16,31,1
BUbu2021$$,Option 2,Yes,49,Female,5,8,3,2,7,6,8,6,4,Yes,"Again, VERY difficult study, mostly because of having to reason out each statement while consulting the ""key"" of symbols and terms. I did my best, though. Interesting, but difficult!",I am 18 or older,I am currently residing in the United States of America (USA),I am fluent in English,2021,6,28,13,57,47
